Stories,FinSqft,Bedrms,Baths,LotSize,SaleDate,month,SalePrice,Ald,Age,FullBase,Attic,FIREPLACE,AIR_CONDITIONING,Garage,X,Y
2,1950,4,1.5,4000,2012,6,257000,3,101,1,0,1,0,1,2566108.076,398267.76
2,1937,4,2,4800,2012,7,239000,3,96,1,0,1,0,1,2567360.375,399762.155
2,1924,3,1.5,2400,2012,6,185000,3,118,1,0,0,1,0,2563598.528,392325.4002
2,1795,4,1.5,4305,2012,5,252000,3,99,1,0,1,1,1,2565073.273,398374.1811
2,1790,4,2,2880,2012,12,219900,3,108,1,0,0,0,0,2563449.043,392093.1522
1.5,1786,4,1.5,2220,2012,4,207000,3,112,1,0,1,1,0,2561227.491,390456.4513
2,1717,4,1.5,3600,2012,9,261500,3,111,1,1,0,1,1,2564108.55,396464.5174
2,1707,3,1,3600,2012,7,239000,3,116,0,1,0,1,1,2565703.983,393312.586
2,1672,4,1,3600,2012,6,169900,3,110,1,0,1,1,1,2561792.512,397740.9321
1.5,1669,3,2,4500,2012,12,210000,3,121,1,0,0,1,0,2563630.137,392857.9573
1,1484,2,1,3600,2012,5,182000,3,137,0,1,0,1,0,2564126.768,395096.1554
1,1465,3,2,3600,2012,9,158500,3,109,1,1,1,0,1,2560899,398260.735
1,1450,3,1,3690,2012,10,133500,3,94,1,1,0,1,1,2560567.825,400949.2651
1,1443,3,2,2670,2012,6,134000,3,122,1,1,0,0,0,2563358.039,392442.7239
1.5,1427,3,2,3600,2012,12,245000,3,111,1,0,0,1,1,2564109.215,396404.127
1,1382,3,2,3600,2012,6,153900,3,112,1,1,0,0,1,2560806.736,395863.7897
1,1371,3,2,6000,2012,9,260000,3,90,1,1,1,0,1,2567066.32,398424.9482
1.5,1345,4,2,3600,2012,7,169000,3,115,1,0,0,1,1,2560752.686,400166.3954
1.5,1313,2,1.5,4920,2012,4,169000,3,73,1,0,1,1,1,2562203.384,400578.6847
1,1246,3,2,3600,2012,6,209900,3,118,1,1,0,0,1,2564204.709,399345.9993
2,1235,3,1,4683,2012,11,182000,3,127,1,0,0,0,1,2560243.046,390008.2833
1.5,1190,2,1,4080,2012,3,165000,3,112,1,0,0,1,1,2561873.89,390720.2541
1,1152,2,1.5,4800,2012,5,145000,3,87,1,1,0,1,1,2562087.811,399681.3369
1,1144,3,1,3600,2012,5,102000,3,108,1,0,0,0,1,2561117.372,396637.9499
1.5,1042,2,1.5,1200,2012,5,110000,3,127,1,0,0,1,0,2560849.362,399374.6798
1,1008,2,1,0,2012,11,350000,3,129,1,0,0,1,0,2562823.284,391767.7239
3,3654,9,4.5,3600,2012,12,365000,3,10,0,0,0,1,0,2563559.865,398855.6023
2,3572,8,3,2500,2012,11,285000,3,109,1,1,0,1,0,2561316.334,391004.1571
2,4733,6,5.5,7020,2012,6,520000,3,90,1,1,2,0,1,2568114.582,395156.0132
2,3858,5,3.5,7200,2012,5,500000,3,90,1,1,1,1,1,2567169.321,401167.0199
2,3795,5,3.5,5800,2012,5,520000,3,102,1,1,1,1,1,2567870.355,394862.3099
2,3282,4,3.5,6600,2012,11,352000,3,90,1,0,1,0,1,2568290.522,397927.9946
2,2817,5,3.5,7500,2012,12,505000,3,86,1,1,1,1,1,2566048.004,397058.6758
1.5,2439,3,2,4800,2012,2,224900,3,82,1,0,0,0,1,2562125.314,400657.6072
2,1786,4,2,6150,2012,5,63000,4,108,1,0,0,0,1,2546373.348,386705.3269
2,1471,4,1.5,12708,2012,8,45000,4,42,1,0,0,1,0,2551594.995,388913.0999
1,853,3,1,2600,2012,9,15000,4,164,1,0,0,0,0,2553771.477,387605.6613
2,3685,5,3,6750,2012,8,152000,4,110,1,1,0,0,1,2546757.454,385538.3488
2,2528,4,2,3600,2012,9,282500,4,127,1,0,0,0,0,2561494.96,388776.6929
2,2191,5,2,3390,2012,11,37500,4,108,1,1,0,0,0,2547738.366,383745.3619
1.5,2064,4,2,4050,2012,11,61000,4,121,0,0,0,0,0,2549967.075,388658.0031
2,1882,4,1.5,3960,2012,4,130000,4,114,1,0,0,1,0,2548399.284,388326.891
2,1661,3,1.5,2352,2012,8,92000,4,102,1,0,0,0,0,2546656.08,387752.4838
1.5,1568,3,1.5,3390,2012,4,11500,4,124,0,0,0,0,0,2547866.207,383657.6265
2,3006,6,2.5,3000,2012,2,62000,4,105,1,1,0,0,0,2546699.947,384769.3655
1,1566,4,1.5,10425,2012,6,144250,5,41,1,0,0,1,1,2516625.882,417021.4477
2,2694,4,2.5,14280,2012,11,270000,5,6,1,0,1,1,1,2520163.655,420537.7908
1,2254,5,2.5,8475,2012,7,240000,5,63,1,1,1,1,1,2524941.631,395211.6132
1,1835,4,2.5,6000,2012,4,208000,5,59,1,1,0,1,1,2526522.385,398873.2
1,1832,4,2,5400,2012,11,163000,5,62,1,1,0,1,1,2528625.138,395925.3606
